"age"	"attitude"	"points"	"gender"	"deep"	"stra"
"99"	21	33	28	"F"	NA	NA
"100"	21	35	17	"F"	NA	NA
"101"	20	36	18	"F"	NA	NA
"102"	21	42	0	"M"	NA	NA
"103"	22	37	17	"M"	NA	NA
"104"	35	28	0	"F"	NA	NA
"105"	21	42	23	"M"	NA	NA
"106"	22	22	0	"M"	NA	NA
"107"	21	32	26	"M"	NA	NA
"108"	20	50	28	"F"	NA	NA
"109"	22	47	31	"M"	NA	NA
"110"	20	36	27	"F"	NA	NA
"111"	20	36	25	"F"	NA	NA
"112"	24	29	23	"M"	NA	NA
"113"	20	35	21	"F"	NA	NA
"114"	19	40	27	"F"	NA	NA
"115"	21	35	28	"F"	NA	NA
"116"	21	32	23	"F"	NA	NA
"117"	22	26	21	"F"	NA	NA
"118"	25	20	25	"F"	NA	NA
"119"	21	27	11	"F"	NA	NA
"120"	22	32	19	"F"	NA	NA
"121"	25	33	24	"F"	NA	NA
"122"	20	39	28	"F"	NA	NA
"123"	24	33	21	"M"	NA	NA
"124"	20	30	24	"F"	NA	NA
"125"	21	37	24	"M"	NA	NA
"126"	26	14	0	"F"	NA	NA
"127"	28	30	0	"M"	NA	NA
"128"	20	25	20	"F"	NA	NA
"129"	20	29	19	"F"	NA	NA
"130"	31	39	30	"M"	NA	NA
"131"	20	36	22	"F"	NA	NA
"132"	22	29	16	"F"	NA	NA
"133"	22	21	16	"F"	NA	NA
"134"	21	31	19	"M"	NA	NA
"135"	20	24	0	"F"	NA	NA
"136"	22	40	30	"M"	NA	NA
"137"	21	31	23	"F"	NA	NA
"138"	21	23	19	"F"	NA	NA
"139"	21	28	18	"F"	NA	NA
"140"	21	37	28	"F"	NA	NA
"141"	20	26	21	"F"	NA	NA
"142"	21	24	19	"F"	NA	NA
"143"	25	30	27	"F"	NA	NA
"144"	27	29	0	"F"	NA	NA
"145"	20	32	0	"F"	NA	NA
"146"	21	28	24	"M"	NA	NA
"147"	24	29	21	"F"	NA	NA
"148"	20	24	20	"F"	NA	NA
"149"	21	31	28	"M"	NA	NA
"150"	20	19	12	"F"	NA	NA
"151"	20	20	21	"F"	NA	NA
"152"	18	38	28	"F"	NA	NA
"153"	21	34	31	"F"	NA	NA
"154"	19	37	18	"F"	NA	NA
"155"	21	29	25	"F"	NA	NA
"156"	20	23	19	"F"	NA	NA
"157"	21	41	21	"M"	NA	NA
"158"	20	27	16	"F"	NA	NA
"159"	21	35	7	"F"	NA	NA
"160"	20	34	21	"F"	NA	NA
"161"	18	32	17	"F"	NA	NA
"162"	22	33	22	"M"	NA	NA
"163"	22	33	18	"F"	NA	NA
"164"	24	35	25	"M"	NA	NA
"165"	19	32	24	"F"	NA	NA
"166"	20	31	23	"F"	NA	NA
"167"	21	24	0	"F"	NA	NA
"168"	20	28	23	"F"	NA	NA
"169"	17	17	26	"F"	NA	NA
"170"	19	19	12	"M"	NA	NA
"171"	23	32	0	"F"	NA	NA
"172"	20	35	32	"F"	NA	NA
"173"	20	24	22	"F"	NA	NA
"174"	25	38	0	"F"	NA	NA
"175"	20	21	20	"F"	NA	NA
"176"	20	29	21	"F"	NA	NA
"177"	19	19	23	"F"	NA	NA
"178"	19	20	20	"F"	NA	NA
"179"	22	42	28	"F"	NA	NA
"180"	35	41	31	"M"	NA	NA
"181"	18	37	18	"F"	NA	NA
"182"	19	36	30	"F"	NA	NA
"183"	21	18	19	"M"	NA	NA
